261 2113.859520 5.998E-25 4.120E-03.06530.118 1324.01590.75-.001000 000 0 4 0 2  g 000 0 1 0 1  u                    P 22e     366643 6 7 2 1 1 1   129.0  135.0
261 2114.176000 1.114E-25 8.733E-04.06880.124 1105.04020.75-.001000 000 1 3 1 1  u 000 1 0 1 0  g                    P 20e     366643 6 7 2 1 1 1    39.0   41.0
261 2114.435720 3.383E-25 7.971E-03.05970.110 1378.34470.75-.001000 000 1 3 1-1- u 000 1 0 1 0  g                    P 25f     366643 6 7 2 1 1 1    49.0   51.0
261 2114.486330 8.347E-25 1.172E-02.06880.124 1224.93840.75-.001000 000 0 4 0 2  g 000 0 1 0 1  u                    P 20f     366643 6 7 2 1 1 1    39.0   41.0
261 2114.799850 1.246E-24 4.258E-03.07680.141  858.43930.75-.001000 000 1 3 1-1+ u 000 1 0 1 0  g                    P 14e     366643 6 7 2 1 1 1    27.0   29.0
261 2115.283320 9.336E-24 2.340E-02.07460.135 1049.02560.75-.001000 000 0 4 0 0+ g 000 0 1 0 1  u                    P 16e     366643 6 8 2 1 1 1    93.0   99.0
261 2115.388800 2.175E-24 4.932E-03.07960.150  740.95940.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    R 10e     366643 6 7 2 1 1 1    23.0   21.0
261 2115.432730 6.472E-24 4.905E-03.07960.150  741.53440.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    R 10f     366643 6 7 2 1 1 1    69.0   63.0
261 2115.513800 7.902E-25 1.489E-03.07190.129 1015.24680.75-.001000 000 1 3 1 1  u 000 1 0 1 0  g                    P 18f     366643 6 7 2 1 1 1   105.0  111.0
261 2115.635890 2.438E-25 4.105E-03.06710.121 1272.32200.75-.001000 000 0 4 0 2  g 000 0 1 0 1  u                    P 21e     366643 6 7 2 1 1 1    41.0   43.0
